Donchian,VolThresh,StopMult,TPMult,NetReturn,MaxDrawdown,Sharpe
10,1.5,1.5,6.0,0.13823156125616132,-0.05598905982925433,0.7991280614702376
20,1.5,1.5,6.0,0.13823156125616132,-0.05598905982925433,0.7991280614702376
30,1.5,1.5,6.0,0.13823156125616132,-0.05598905982925433,0.7991280614702376
40,1.5,1.5,6.0,0.13823156125616132,-0.05598905982925433,0.7991280614702376
20,1.2,2.0,10.0,0.3358988629417081,-0.1338199444214176,0.767235979497636
10,1.5,2.0,4.0,0.13567685133797022,-0.07051901648329356,0.754491508607748
20,1.5,2.0,4.0,0.13567685133797022,-0.07051901648329356,0.754491508607748
30,1.5,2.0,4.0,0.13567685133797022,-0.07051901648329356,0.754491508607748
40,1.5,2.0,4.0,0.13567685133797022,-0.07051901648329356,0.754491508607748
10,1.5,1.5,10.0,0.15255239582307295,-0.05465268761970682,0.7343680752108191
20,1.5,1.5,10.0,0.15255239582307295,-0.05465268761970682,0.7343680752108191
30,1.5,1.5,10.0,0.15255239582307295,-0.05465268761970682,0.7343680752108191
40,1.5,1.5,10.0,0.15255239582307295,-0.05465268761970682,0.7343680752108191
20,1.5,3.0,4.0,0.19345745629965022,-0.09609557832987427,0.7300884138455072
30,1.5,3.0,4.0,0.19345745629965022,-0.09609557832987427,0.7300884138455072
40,1.5,3.0,4.0,0.19345745629965022,-0.09609557832987427,0.7300884138455072
10,1.5,3.0,4.0,0.17158583608990285,-0.09515931276124157,0.6735136279840177
10,1.5,1.5,4.0,0.10776838507853281,-0.05650517583216486,0.6696608652899935
20,1.5,1.5,4.0,0.10776838507853281,-0.05650517583216486,0.6696608652899935
30,1.5,1.5,4.0,0.10776838507853281,-0.05650517583216486,0.6696608652899935
40,1.5,1.5,4.0,0.10776838507853281,-0.05650517583216486,0.6696608652899935
30,1.2,2.0,10.0,0.2648922939744294,-0.13662014392646446,0.6650715850321464
10,1.5,1.5,8.0,0.11911019239223151,-0.05463488647129794,0.6132342028452088
20,1.5,1.5,8.0,0.11911019239223151,-0.05463488647129794,0.6132342028452088
30,1.5,1.5,8.0,0.11911019239223151,-0.05463488647129794,0.6132342028452088
40,1.5,1.5,8.0,0.11911019239223151,-0.05463488647129794,0.6132342028452088
20,1.2,1.5,6.0,0.19817352613870026,-0.11464415821839018,0.6040369925125605
20,1.2,3.0,10.0,0.3038049347226004,-0.20075400606230187,0.593375673708157
30,1.2,3.0,10.0,0.2818712431268914,-0.22660937488901745,0.5770762816528684
20,1.2,1.5,10.0,0.19329124634723266,-0.12327946824437286,0.5597484254217541
20,1.2,3.0,6.0,0.2562108565734679,-0.20231137109369637,0.544047399566713
20,1.2,2.5,10.0,0.23253627588319722,-0.1429840707866173,0.5404168209104211
10,1.5,2.5,4.0,0.10695307538138404,-0.08044698306877074,0.5399022288736127
20,1.5,2.5,4.0,0.10404426253027704,-0.08044698306877074,0.5260792611366623
30,1.5,2.5,4.0,0.10404426253027704,-0.08044698306877074,0.5260792611366623
40,1.5,2.5,4.0,0.10404426253027704,-0.08044698306877074,0.5260792611366623
20,1.5,3.0,10.0,0.1608002020924032,-0.11014887268678533,0.5201013664906724
30,1.5,3.0,10.0,0.1608002020924032,-0.11014887268678533,0.5201013664906724
40,1.5,3.0,10.0,0.1608002020924032,-0.11014887268678533,0.5201013664906724
20,1.2,2.0,6.0,0.17925686146777225,-0.13710548670818382,0.5185555832598345
30,1.2,3.0,6.0,0.2312849945258311,-0.215610001167471,0.5167094107902658
20,1.2,1.5,8.0,0.1700885734632604,-0.12327946824437286,0.5110663434500968
20,1.2,2.0,8.0,0.18052433672513526,-0.1338199444214176,0.5026076421863752
30,1.2,1.5,6.0,0.15221708908080764,-0.11940694821388838,0.5008734450935511
20,1.2,2.0,4.0,0.16044813636634425,-0.12052090569406762,0.49285145409323367
30,0.8,1.5,6.0,0.2552384214231448,-0.2608835060011219,0.4905559970724598
30,1.2,2.5,10.0,0.18306285070598569,-0.1665462179053381,0.46636003631365697
40,1.2,3.0,10.0,0.2109785439331001,-0.2250856791050012,0.46603693789483047
20,1.0,1.5,6.0,0.20812771523935808,-0.21504499592816342,0.46297172739021347
30,1.2,2.0,4.0,0.1380041614717833,-0.1242340004204099,0.4454179184723388
30,1.2,3.0,8.0,0.1811292108432046,-0.20808559310179967,0.43775506191542396
30,1.2,2.0,6.0,0.13827060620533158,-0.1400799538828876,0.4349299846738871
20,1.5,3.0,6.0,0.1163827777350878,-0.12723804945314462,0.42981421126729025
30,1.5,3.0,6.0,0.1163827777350878,-0.12723804945314462,0.42981421126729025
40,1.5,3.0,6.0,0.1163827777350878,-0.12723804945314462,0.42981421126729025
40,1.2,2.0,10.0,0.14783917573340385,-0.1403670817909431,0.4257061472020779
20,1.2,3.0,8.0,0.1785136035210544,-0.2018196862471647,0.42478624157961997
20,1.5,3.0,8.0,0.1276385046109466,-0.11166684461093464,0.42319834685514834
30,1.5,3.0,8.0,0.1276385046109466,-0.11166684461093464,0.42319834685514834
40,1.5,3.0,8.0,0.1276385046109466,-0.11166684461093464,0.42319834685514834
30,1.2,1.5,10.0,0.12932066918046312,-0.12270333417856646,0.4222415996150028
20,1.0,1.5,8.0,0.18974171815708923,-0.22148557631647167,0.41943811092964994
30,1.2,2.0,8.0,0.13300853681866792,-0.13662014392646446,0.40942251383745737
30,1.0,1.5,6.0,0.17023921709862988,-0.24798408805501876,0.4093965911618687
10,1.5,2.0,6.0,0.06798703748091375,-0.06956224738240477,0.4065542746089271
20,1.5,2.0,6.0,0.06798703748091375,-0.06956224738240477,0.4065542746089271
30,1.5,2.0,6.0,0.06798703748091375,-0.06956224738240477,0.4065542746089271
40,1.5,2.0,6.0,0.06798703748091375,-0.06956224738240477,0.4065542746089271
10,1.5,2.0,10.0,0.08011050752942447,-0.06843158190346796,0.39835588714666353
20,1.5,2.0,10.0,0.08011050752942447,-0.06843158190346796,0.39835588714666353
30,1.5,2.0,10.0,0.08011050752942447,-0.06843158190346796,0.39835588714666353
40,1.5,2.0,10.0,0.08011050752942447,-0.06843158190346796,0.39835588714666353
30,1.2,1.5,8.0,0.11629547053556707,-0.12270333417856646,0.390452952003233
30,1.2,3.0,4.0,0.1402308904759413,-0.17953734073872427,0.38299661175038086
40,1.2,3.0,8.0,0.15434856476828698,-0.20685205135599946,0.3828098137944126
40,1.2,3.0,6.0,0.14887981856318583,-0.21709451172265173,0.37961917383217975
20,1.0,1.5,10.0,0.1520179963665374,-0.22148557631647167,0.36740125600459317
20,1.2,3.0,4.0,0.13325888642666922,-0.17500568722552562,0.3646584641166062
40,0.8,1.5,6.0,0.14551458941823786,-0.22511707743237644,0.3639834145260752
20,1.2,2.5,8.0,0.12466993526312199,-0.16206581997203934,0.358567730973655
10,1.5,3.0,10.0,0.09382538822790756,-0.10509960832309617,0.34722571793107904
10,1.5,3.0,6.0,0.08425394231688278,-0.12246102425466407,0.33799488708677944
20,0.8,1.5,8.0,0.12833345419482103,-0.271056165703263,0.3139736105978167
20,1.2,2.5,6.0,0.09999799134805326,-0.16166796561072233,0.31367109430305085
20,0.8,1.5,6.0,0.1155705560185057,-0.2623443603958691,0.29942781132277246
10,1.5,3.0,8.0,0.07952125746221063,-0.1065571953067334,0.29831261151438465
30,1.2,2.5,8.0,0.09294816694568798,-0.17130517403230316,0.2979188104421395
